golden_id,customer_message,conversation_context,human_intent,human_intent_confidence,human_intent_notes,human_resolution_supported,human_resolution_notes,human_auto_handle,human_auto_handle_notes,human_reply_quality,human_reply_quality_notes,annotation_complete,human_review_notes,ai_uncertainty_flags
G-1000,@AmazonHelp Please don't play around. I have been promised by Amazon many times for refund but fact is it is not honoring.,"[{""author"": ""183033"", ""text"": ""No refund of my money since one month, name mismatch in cheque and bank a/c @AmazonHelp   order no #403-8295304-4660353"", ""timestamp"": ""Fri Oct 06 11:04:29 +0000 2017""}, {""author"": ""183033"", ""text"": ""@AmazonHelp Still awaiting my refund @AmazonHelp"", ""timestamp"": ""Wed Oct 11 11:04:37 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@183033 I see that we've sent you a correspondence. Kindly check the same here: https://t.co/ubzNHWZvL2 ^SG"", ""timestamp"": ""Wed Oct 11 11:28:31 +0000 2017""}, {""author"": ""183033"", ""text"": ""@AmazonHelp It has been 58 days now. No refund till now."", ""timestamp"": ""Sat Oct 28 10:13:35 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@183033 Please respond to our reply sent to you from our escalations team. We will get back to you with the resolution. ^GU"", ""timestamp"": ""Sat Oct 28 10:27:00 +0000 2017""}, {""author"": ""183033"", ""text"": ""@AmazonHelp I have done it all. Please check with your end."", ""timestamp"": ""Sat Oct 28 10:33:53 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@183033 However, since you've responded to the email sent by the Soial Media team you'd be receiving an update soon. 2/2 ^EM"", ""timestamp"": ""Sat Oct 28 10:46:05 +0000 2017""}, {""author"": ""183033"", ""text"": ""@AmazonHelp What is the update? Please tell me, does it take 55 days for processing the refund?"", ""timestamp"": ""Mon Oct 30 09:33:05 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@183033 I'm sorry for the stretch. Please refer to our correspondence here: https://t.co/8DAc10S7ww ^AP"", ""timestamp"": ""Mon Oct 30 10:07:48 +0000 2017""}, {""author"": ""183033"", ""text"": ""@AmazonHelp Very poor service from Amazon. Still awaiting for my refund.. More than 60days now..."", ""timestamp"": ""Mon Nov 06 04:41:49 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@183033 I'm sorry it is longer than expected. We're working on it and will get back to you soon. ^VH"", ""timestamp"": ""Mon Nov 06 04:58:56 +0000 2017""}, {""author"": ""183033"", ""text"": ""@AmazonHelp What is the update of my refund?still I have not got my money back. Even after so many promises have been made to me for same."", ""timestamp"": ""Mon Nov 13 07:32:14 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@183033 An email has already been sent with a reply. Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ ^HR"", ""timestamp"": ""Mon Nov 13 07:59:00 +0000 2017""}]",AccountAndPayment,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1001,"@AmazonHelp Thanks for the prompt response.  Here's your link-&gt;
WD My Passport 1TB Portable External Hard Drive (Blue) https://t.co/AU9qOeLQiP","[{""author"": ""196041"", ""text"": ""Hey @115850 I'm a big fan of your \""lightning section\"". \n\nNo offense ...but not this :( https://t.co/ybm7usONAR"", ""timestamp"": ""Sat Oct 07 18:55:02 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@196041 Thanks for flagging this. Could you please help us with the link to the product so that we can check this for you? ^VN"", ""timestamp"": ""Sat Oct 07 21:05:25 +0000 2017""}, {""author"": ""196041"", ""text"": ""@AmazonHelp Whoa! I can c that d lightning deal ended sooner wd only 3% claim in past 1hr. Thr's no waitlist too.  Smthing's not right. Here's the deal: https://t.co/I9GgNidL8o"", ""timestamp"": ""Sat Oct 07 21:23:13 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@196041 That's odd. We'd like to check this. Could you please help us with the product page link? ^HD"", ""timestamp"": ""Sat Oct 07 21:53:33 +0000 2017""}]",RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1002,@AmazonHelp I spoke to one of your agents tonight on the phone and he went above and beyond (even a follow up email)! Anyway to ID so I can fill out a survey of some sort??,[],OTHER,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1003,@AmazonHelp The last two packages were supposed to be delivered by AMZL US.,"[{""author"": ""223979"", ""text"": ""@AmazonHelp What's with the late deliveries lately?"", ""timestamp"": ""Fri Dec 01 01:22:02 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@223979 I'm sorry your orders are taking longer than expected to arrive! We always strive to meet the delivery date shown at checkout and confirmed via e-mail. Do you have a recent order shown here that we missed the delivery date: https://t.co/Y5jpI9gRhE? ^BN"", ""timestamp"": ""Fri Dec 01 01:27:32 +0000 2017""}, {""author"": ""223979"", ""text"": ""@AmazonHelp I had an order that was supposed to be delivered tonight and one earlier in the week that was not only late, but delivered to the wrong address."", ""timestamp"": ""Fri Dec 01 01:29:20 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@223979 Oh my! I'm so sorry for this poor experience! Have you noticed a trend with the carrier for each package or were they different each time? You can find that here: https://t.co/Y5jpI9gRhE ^HS"", ""timestamp"": ""Fri Dec 01 01:38:31 +0000 2017""}]",CustomerServiceEscalation,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1004,Wow! @115830 this packaging job is atrocious. I don’t order books for them to arrive damaged 😡 https://t.co/sJNSq2qqM8,[],AccountAndPayment,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1005,So far @115821 has failed to respond to my oil covered package and ruined game.,[],DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1006,@AmazonHelp See...you all lie now.  Plain and simple.  I've been a Prime Member for 7 years and up until this year 2 days meant 2 days.  You don't get to show a delivery date 2 days from date of order and than change after order.,"[{""author"": ""245184"", ""text"": ""Anyone else that's a Prime member feel like they are getting screwed by .@115821 on the 2 day shipping? Seems to me that @115821 has changed 2 day shipping into 4-5 day shipping."", ""timestamp"": ""Sat Dec 02 16:26:36 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@245184 I'm so sorry for the disappointment! Selecting Two-Day shipping will reduce the transit time to two business days after we've shipped your order, but it won't impact how long it takes us to obtain the item or prepare it for shipment: https://t.co/wNIe9aPWSf. ^SD"", ""timestamp"": ""Sat Dec 02 16:34:01 +0000 2017""}]",DigitalServices,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1007,@AmazonHelp Ups,"[{""author"": ""735942"", ""text"": ""Why am I paying for amazon prime, if my order is going to be late?!"", ""timestamp"": ""Fri Nov 17 06:15:36 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@735942 Oh no, I'm sorry for the frustration! Did we miss the delivery date provided on Your Orders page here: https://t.co/Y5jpI9gRhE ^EA"", ""timestamp"": ""Fri Nov 17 06:21:24 +0000 2017""}, {""author"": ""735942"", ""text"": ""@AmazonHelp Yea, was suppose to arrive yesterday, now it says may take few more days"", ""timestamp"": ""Fri Nov 17 06:25:23 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@735942 This is not what you would normally expect from us. When you check the tracking info can you see which carrier is handling this? ^BZ"", ""timestamp"": ""Fri Nov 17 06:38:35 +0000 2017""}]",DeliveryStatus,LOW,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,"[""Ambiguous intent""]"
G-1008,@115830 a few bad delivery drivers really spoiling the Amazon brand 😢 ...please be more selective in your delivery services,[],DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1009,@AmazonHelp I have already reported. Read previous tweet.,"[{""author"": ""416958"", ""text"": ""@115850 does your 11 oct falls on 11 nov? Called your customer care. Haven\u2019t received order yet. Shame https://t.co/O7tIYg0i3M"", ""timestamp"": ""Thu Oct 26 13:26:08 +0000 2017""}, {""author"": ""416958"", ""text"": ""@115850 Still not received. Should i go to court? https://t.co/lsqqPa1r5c"", ""timestamp"": ""Fri Nov 03 13:30:37 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@416958 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN"", ""timestamp"": ""Fri Nov 03 13:34:00 +0000 2017""}]",RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
