golden_id,customer_message,predicted_intent,predicted_escalation,generated_reply,retrieved_evidence_summary,human_relevance,human_groundedness,human_helpfulness,human_safety,human_tone,human_notes,judge_relevance,judge_groundedness,judge_helpfulness,judge_safety,judge_tone,judge_overall
G-1003,@AmazonHelp The last two packages were supposed to be delivered by AMZL US.,DeliveryStatus,ESCALATE,@AmazonHelp I'm sorry to hear that your packages have not been delivered as expected. Could you please provide the most recent tracking information available? You can find that information here: https://t.co/hApLpMlfHN ^SP,"[{""author"": ""223979"", ""text"": ""@AmazonHelp What's with the late deliveries lately?"", ""timestamp"": ""Fri Dec 01 01:22:02 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@223979 I'm sorry your orders are taking longer than expected to arrive! We always strive to meet the delivery date shown at checkout",5,5,5,5,5,no,5,4,5,5,5,4.8
G-1011,@AmazonHelp Another failed attempt st delivery and the number given by you of the agent incorrect. Problems still oresists! Shameful @173609,DeliveryStatus,ESCALATE,"@173609 I'm sorry to hear about the delivery issues you're experiencing. Unfortunately, I can't access your account details here. Please reach out to us for further assistance: https://t.co/hApLpMlfHN ^RB","[{""author"": ""181479"", ""text"": ""@8623 @AmazonHelp atrocious service, clueless customer care. Absolute waste. Never ever @348 @120033 @173609 https://t.co/5QeeunWH1e"", ""timestamp"": ""Fri Oct 06 04:45:36 +0000 2017""}, {""author"": ""181479"", ""text"": ""@8623 @AmazonHelp @348 @120033 @173609 @AmazonHelp @1711",4,4,3,5,5,Acknowledges the delivery problem but does not directly address the incorrect contact number or repeated failed attempts.,4,3,4,5,4,4.0
G-1025,"@AmazonHelp My order was finally delivered, and I very much appreciate the help I received from Luis A. and Brian (or Bryan?). Thank you, both!",OTHER,ESCALATE,"@AmazonHelp We're glad to hear your order was delivered! Thank you for your kind words about Luis A. and Brian. If you need any further assistance, feel free to reach out! ^AM","[{""author"": ""293375"", ""text"": ""@115821 and @AmazonHelp - Where is my package??? Your Amazon Logistics driver is lying. S/he is violating mail delivery statutes. #Amazon"", ""timestamp"": ""Wed Oct 11 03:18:13 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@293375 I'm sorry to hear you haven't received ",,,,,,,5,4,4,5,5,4.6
G-1029,@AmazonHelp Your callback service is not working. This is not what I expected from you -.- There's no other way to verbally have a conversation on this,CustomerServiceEscalation,ESCALATE,@AmazonHelp I'm sorry to hear that you're having trouble with our callback service. Please report this issue to an agent with access to your account here: https://t.co/hApLpMlfHN. We want to help you resolve this.,"[{""author"": ""124856"", ""text"": ""@115850 The package that was supposed to be delivered on the 14th but never showed up, so we cancelled the order, suddenly turned up today"", ""timestamp"": ""Tue Oct 31 09:41:26 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@124856 That's odd. We'd like to look into it.",,,,,,,4,3,4,5,4,4.0
G-1032,"https://t.co/V0S2BNxmhi
@AmazonHelp 
I wrote to Amazon asking why an image and such for my paperback isn't showing. This does show on Kindle",DigitalServices,ESCALATE,"It seems that the image for your paperback may not be displaying correctly, while it is visible on Kindle. For specific issues like this, I recommend reaching out to our support team directly for assistance, as they can provide more detailed help regarding your paperback's visibility.",None available,,,,,,,5,3,4,5,5,4.4
G-1041,"@AmazonHelp Initially amazon sent me a totally wrong item 

I raised a request for exchange, But in exchange, again they sent me wrong item 
First you sent me some other shoes and in exchange you sent me a shoes of different size.

This is really annoying",WrongItem,ESCALATE,@AmazonHelp I'm really sorry to hear about the issues you've faced with your order. It sounds frustrating to receive the wrong items. Please let us know if the item was purchased from us or from one of our sellers so we can assist you further. You can also find more help here: https://t.co/hApLpMlfHN ^MH,"[{""author"": ""143735"", ""text"": ""@115850 @AmazonHelp shame on your service if you can't deliver a correct item worth Rs.500 in 2 tries\n1stly you sent a wrong item and now you sent a different size in EXCHANGE.\nWorst app to order from..!\n\n#cheaters\n#fraudsters"", ""timestamp"": ""Thu Nov 23 15:10:09 +",,,,,,,5,4,5,5,5,4.8
G-1057,@AmazonHelp Thank you so much for your support. How i will return my mobile. Please help me. Today is the last date to return my mobile.,RefundsAndReturns,ESCALATE,@AmazonHelp I understand your urgency regarding the return of your mobile. Please reach out to our support team here: https://t.co/rS49hgaADF for assistance with your return request. They will be able to guide you through the process. ^SD,"[{""author"": ""138642"", ""text"": ""Many times i have told that mobile is not supporting the JIO sim and i am using only JIO sim. I don't have any other issue with this mobile. IT is difficult for me to continue with this mobile. Today is the last date after that i will unable to return @115821 @AmazonHe",,,,,,,5,4,5,5,5,4.8
G-1059,"@AmazonHelp Filled out AGAIN. I'm not spending hours on this again. You guys can either figure this out or I'll take my business elsewhere. As it is, I'll be returning the $200 order if I ever receive it and buying a $1300 TV we were planning to purchase with you from Best Buy.",CustomerServiceEscalation,ESCALATE,@AmazonHelp I understand your frustration and want to help resolve this issue. Please consider using our phone or chat options for quicker assistance. We value your business and want to ensure your concerns are addressed promptly. ^CS,"[{""author"": ""185912"", ""text"": ""Hey @AmazonHelp remember 2 months ago when you promised me AMZL would no longer be handling my deliveries after things were continuously delivered to wrong place and delayed? Well today they delayed a $200 delivery. Beginning to transfer all my regular orders to other ",,,,,,,3,3,4,5,4,3.8
G-1071,"@AmazonHelp ordered woodland shoes n got delivered just now, Got totally damaged shoes… pls check images, pls look into this @115850 https://t.co/2PQCKft2my",DamagedOrDefective,ESCALATE,"@115850 I'm sorry to hear that your woodland shoes arrived damaged. Please report this issue to our support team here: https://t.co/rS49hgaADF, and they will assist you in resolving it as soon as possible. ^KC",None available,,,,,,,5,4,5,5,5,4.8
G-1078,@AmazonHelp already mailed. you guys are offering me a refund so in a way my exchanged phone is gone and this phone too.,RefundsAndReturns,ESCALATE,I understand your concern regarding the exchange and refund process. Could you please provide more details about your situation so we can assist you better?,"[{""author"": ""194782"", ""text"": ""@115850 Worst experience with Amazon. Bought a mobile with exchange and it turned out to be a defective piece. No option for replacement"", ""timestamp"": ""Sat Oct 07 17:44:43 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@194782 I'm sorry to know about the damage. Plea",,,,,,,4,3,3,5,4,3.8
G-1097,"@AmazonHelp Amazon. It was a sporting goods item that came in just in an Amazon box, not its manufacturer packaging so I was suspicious from the start but gave the time for it to break in &amp; it has not.",DamagedOrDefective,ESCALATE,@AmazonHelp I'm sorry to hear that your sporting goods item arrived in an Amazon box instead of its manufacturer packaging. We understand how that can raise concerns. Could you please provide us with a link to the product in question so we can assist you further? ^TK,"[{""author"": ""632162"", ""text"": ""@115821 pretty sure Amazon is selling certain fake products and when customers realize the products they ordered are fake, Amazon says, \""sorry but you're past the refund/return time frame.\"""", ""timestamp"": ""Thu Nov 09 01:17:33 +0000 2017""}, {""author"": ""AmazonHelp"", ""t",,,,,,,5,4,5,5,5,4.8
G-1118,@AmazonHelp it was actually delivered this time. but it's always your drivers when i don't get my packages. i've already been through this with y'all.,CourierFeedback,ESCALATE,"@Customer, we understand your frustration regarding delivery issues with our drivers. We would like to investigate this further. Please provide more details about your recent orders so we can assist you better.","[{""author"": ""191894"", ""text"": ""wow. so @115821 calls to say the access pad for my bldg \u2260 working. he was pushing # first b/c whatever staff noted my code put it as #xxxx"", ""timestamp"": ""Thu Oct 12 22:26:29 +0000 2017""}, {""author"": ""191894"", ""text"": ""@115821 mind you, the other part of his scree",,,,,,,5,4,5,5,5,4.8
G-1135,"@AmazonHelp Already contacted,they are saying it's technical glitch,need to wait for few hours,in the starting only you are failing to deliver recharge services @116329",DigitalServices,ESCALATE,"@116329 I apologize for the inconvenience you're experiencing with the recharge services. It seems there may be a technical glitch. Please continue to monitor the situation, and if the issue persists, I recommend reaching out to our customer service for further assistance: https://t.co/oGDklGgbCZ ^BD","[{""author"": ""348604"", ""text"": ""@115850 @117128 Not able to recharge my phone number with Rs.448 recharge,everytime I am recharging using Amazon it is giving that recharge failed,have tried it 5 or 6 times but transaction failing again and again,sort this out."", ""timestamp"": ""Thu Nov 16 08:22:31 +000",,,,,,,5,3,4,5,5,4.4
G-1146,"@AmazonHelp Ya lo hicimos, incluso hablamos al banco para verificar la información y es la misma.",AccountAndPayment,ESCALATE,"Entendemos que ya han verificado la información con su banco. Para resolver este asunto, le recomendamos que se comunique con nuestro soporte al cliente para obtener asistencia adicional.","[{""author"": ""286522"", ""text"": ""@116875 Hola Amazon! Llevo dos semanas tratando de tratando de realizar una compra y no e podido, adem\u00e1s de que tardan en responderme"", ""timestamp"": ""Tue Oct 10 18:55:26 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@286522 Hola Monse, \u00bfrecibes alg\u00fan t",,,,,,,4,2,3,5,4,3.6
G-1157,@AmazonHelp what the hell is this??? I was in and the guy didn’t even knock😤 and my parcel has been water damaged😠 https://t.co/3qMkj1wxKl,CourierFeedback,ESCALATE,@AmazonHelp I'm sorry to hear about your experience! This isn't what we expect from our delivery service. Please reach out to us by phone or chat here: https://t.co/JzP7hlA23B for further assistance. ^KJ,None available,,,,,,,5,3,4,5,5,4.4
G-1158,@AmazonHelp What's your phone number?,OTHER,ESCALATE,Hi! You can find our phone number by selecting your order and then clicking on 'Where's my stuff?' from the drop-down menu. The contact options will appear below. I hope this helps!,"[{""author"": ""AmazonHelp"", ""text"": ""@161464 Letting you down is never our intent! To escalate carrier feedback &amp; explore further options, please call us once more. ^MV"", ""timestamp"": ""Wed Oct 18 02:23:00 +0000 2017""}]",,,,,,,4,4,4,5,5,4.4
